,transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,full_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation
10753,10850,144,2017-11-29,0.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
10762,10859,2469,2017-08-06,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,35470.0,Kermie Hedger,U,18.0,,Accounting Assistant II,IT,Mass Customer,N,Yes,,2036.0,NSW,Australia,11.0
10802,10900,3012,2017-06-11,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,35707.0,Devland Probart,U,81.0,,Technical Writer,IT,Mass Customer,N,Yes,,3250.0,VIC,Australia,2.0
10826,10924,168,2017-03-26,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,38482.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
10940,11040,2540,2017-04-10,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42710.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
10979,11079,3473,2017-08-04,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,35667.0,Sanderson Alloway,U,34.0,,Analog Circuit Design manager,IT,Mass Customer,N,No,,3803.0,VIC,Australia,7.0
11014,11114,3322,2017-01-21,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,36367.0,Hew Sworder,U,24.0,,Financial Analyst,Financial Services,Affluent Customer,N,Yes,,2094.0,NSW,Australia,10.0
11038,11139,1477,2017-04-26,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,34556.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
11068,11169,144,2017-11-02,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
11135,11237,168,2017-06-01,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,35052.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
11194,11296,57,2017-01-20,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,42404.0,Abba Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,4280.0,QLD,Australia,6.0
11221,11323,3086,2017-07-20,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
11222,11324,2854,2017-07-06,,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,38750.0,Vikky Dyde,U,49.0,,Project Manager,IT,High Net Worth,N,Yes,,2323.0,NSW,Australia,4.0
11264,11366,1509,2017-09-27,1.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,33429.0,Sibley Janek,U,10.0,,Computer Systems Analyst I,IT,High Net Worth,N,Yes,,2227.0,NSW,Australia,10.0
11350,11453,2295,2017-06-21,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,36498.0,Farris Hazelby,U,35.0,,Internal Auditor,IT,Mass Customer,N,Yes,,2156.0,NSW,Australia,12.0
11384,11487,1918,2017-06-26,1.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779.0,Devin Sandeson,U,83.0,,Staff Accountant II,IT,Affluent Customer,N,No,,2261.0,NSW,Australia,8.0
11460,11566,454,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,41701.0,Eugenie Domenc,U,58.0,,Research Nurse,Health,Affluent Customer,N,Yes,,4221.0,QLD,Australia,10.0
11524,11630,996,2017-10-28,1.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,41922.0,Aura Bemlott,U,67.0,,Assistant Manager,IT,Mass Customer,N,Yes,,2194.0,NSW,Australia,10.0
11527,11633,1806,2017-04-10,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
11772,11880,3322,2017-07-29,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,39880.0,Hew Sworder,U,24.0,,Financial Analyst,Financial Services,Affluent Customer,N,Yes,,2094.0,NSW,Australia,10.0
11777,11885,548,2017-01-11,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,35455.0,Georgie Cudbertson,U,84.0,,,IT,High Net Worth,N,Yes,,4127.0,QLD,Australia,7.0
11805,11913,3343,2017-05-02,,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,34165.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
11833,11941,2414,2017-03-08,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38216.0,Basile Bowlas,U,18.0,,Registered Nurse,Health,Mass Customer,N,Yes,,3802.0,VIC,Australia,7.0
11856,11964,3298,2017-06-01,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0,Christine Baignard,U,1.0,,VP Quality Control,IT,Affluent Customer,N,Yes,,3064.0,VIC,Australia,7.0
11884,11992,1918,2017-12-29,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Devin Sandeson,U,83.0,,Staff Accountant II,IT,Affluent Customer,N,No,,2261.0,NSW,Australia,8.0
11908,12016,983,2017-06-21,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
11922,12031,144,2017-03-18,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
11973,12083,34,2017-07-23,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
12023,12133,2414,2017-05-06,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,37823.0,Basile Bowlas,U,18.0,,Registered Nurse,Health,Mass Customer,N,Yes,,3802.0,VIC,Australia,7.0
12030,12141,1038,2017-12-18,0.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,34079.0,Fraser Acome,U,57.0,,Engineer I,Manufacturing,Mass Customer,N,Yes,,3809.0,VIC,Australia,6.0
12160,12272,950,2017-07-14,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,36367.0,Bret Ivakhnov,U,24.0,,Recruiter,IT,High Net Worth,N,Yes,,4218.0,QLD,Australia,5.0
12242,12357,3222,2017-12-15,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Caralie Sellors,U,40.0,,Senior Editor,IT,Affluent Customer,N,No,,4030.0,QLD,Australia,9.0
12255,12370,3223,2017-11-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38206.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
12311,12426,513,2017-04-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Kienan Soar,U,30.0,,Tax Accountant,IT,Mass Customer,N,No,,3126.0,VIC,Australia,12.0
12315,12430,599,2017-08-26,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693.0,Ernestus Cruden,U,48.0,,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,,3068.0,VIC,Australia,8.0
12349,12465,2165,2017-10-26,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
12362,12478,1683,2017-05-24,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,38750.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
12465,12581,1210,2017-09-05,1.0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
12482,12598,599,2017-05-05,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,40553.0,Ernestus Cruden,U,48.0,,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,,3068.0,VIC,Australia,8.0
12529,12645,453,2017-10-27,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
12557,12673,3223,2017-03-27,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,34170.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
12563,12679,799,2017-02-06,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
12642,12758,996,2017-06-10,,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,39880.0,Aura Bemlott,U,67.0,,Assistant Manager,IT,Mass Customer,N,Yes,,2194.0,NSW,Australia,10.0
12672,12788,799,2017-08-12,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40672.0,Harland Spilisy,U,39.0,,Programmer I,IT,Mass Customer,N,Yes,,2756.0,NSW,Australia,8.0
12684,12800,983,2017-07-05,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
12686,12802,2469,2017-06-06,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,35052.0,Kermie Hedger,U,18.0,,Accounting Assistant II,IT,Mass Customer,N,Yes,,2036.0,NSW,Australia,11.0
12693,12809,2647,2017-08-09,1.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
12735,12852,290,2017-07-31,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Giorgio Kevane,U,42.0,,Senior Sales Associate,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
12795,12914,3312,2017-01-25,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Franky Nanninini,U,49.0,,Administrative Officer,IT,High Net Worth,N,No,,4505.0,QLD,Australia,2.0
12814,12933,454,2017-07-30,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,35707.0,Eugenie Domenc,U,58.0,,Research Nurse,Health,Affluent Customer,N,Yes,,4221.0,QLD,Australia,10.0
12840,12959,2697,2017-03-19,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,33552.0,Klarika Yerby,U,70.0,,Legal Assistant,IT,High Net Worth,N,No,,2067.0,NSW,Australia,12.0
12853,12973,2963,2017-05-31,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,40553.0,Christin Fricke,U,17.0,,Safety Technician II,IT,Affluent Customer,N,Yes,,2114.0,NSW,Australia,10.0
12921,13044,2696,2017-08-01,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Isabelle Bursnoll,U,42.0,,Social Worker,Health,Mass Customer,N,Yes,,4031.0,QLD,Australia,8.0
12980,13103,3012,2017-02-14,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,33259.0,Devland Probart,U,81.0,,Technical Writer,IT,Mass Customer,N,Yes,,3250.0,VIC,Australia,2.0
13070,13194,451,2017-01-23,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,36668.0,Marlow Flowerdew,U,37.0,,Quality Control Specialist,IT,High Net Worth,N,No,,3192.0,VIC,Australia,10.0
13092,13216,1351,2017-12-03,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
13115,13239,1938,2017-02-24,1.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40670.0,Austin Toopin,U,47.0,,Automation Specialist IV,IT,Mass Customer,N,Yes,,4670.0,QLD,Australia,2.0
13118,13242,3086,2017-06-05,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
13178,13302,1210,2017-08-14,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38859.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
13200,13324,453,2017-02-21,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
13296,13424,1,2017-02-21,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
13370,13499,2252,2017-08-22,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38859.0,Darcey Annis,U,31.0,,Teacher,IT,High Net Worth,N,Yes,,3183.0,VIC,Australia,7.0
13405,13535,2540,2017-12-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,40336.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
13513,13644,1,2017-05-19,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
13538,13670,2165,2017-12-30,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
13734,13871,1244,2017-12-11,1.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,40779.0,Glenn Tinham,U,80.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,2127.0,NSW,Australia,8.0
13735,13872,1244,2017-12-10,0.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,41047.0,Glenn Tinham,U,80.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,2127.0,NSW,Australia,8.0
13749,13887,2999,2017-07-18,1.0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
13819,13957,1806,2017-03-14,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Gil De Gregorio,U,95.0,,Software Test Engineer IV,IT,Mass Customer,N,No,,4701.0,QLD,Australia,1.0
13821,13959,1583,2017-01-15,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688.0,Krysta O' Reagan,U,18.0,,Geologist IV,IT,Mass Customer,N,Yes,,2100.0,NSW,Australia,11.0
13967,14105,1351,2017-03-29,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
13993,14131,144,2017-02-26,1.0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
14010,14148,453,2017-11-19,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,42696.0,Cornelius Yarmouth,U,81.0,,Assistant Professor,IT,High Net Worth,N,No,,2170.0,NSW,Australia,10.0
14069,14207,680,2017-04-27,1.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,39915.0,Gay Pickersgill,U,22.0,,,IT,High Net Worth,N,Yes,,2209.0,NSW,Australia,7.0
14086,14224,1351,2017-01-04,1.0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553.0,Lorettalorna ,U,32.0,,Office Assistant IV,IT,High Net Worth,N,No,,3564.0,VIC,Australia,2.0
14158,14297,548,2017-12-20,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143.0,Georgie Cudbertson,U,84.0,,,IT,High Net Worth,N,Yes,,4127.0,QLD,Australia,7.0
14181,14321,839,2017-09-15,0.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37668.0,Charis Greaves,U,14.0,,Structural Analysis Engineer,IT,Mass Customer,N,Yes,,2880.0,NSW,Australia,1.0
14227,14367,983,2017-10-29,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
14284,14426,3012,2017-08-13,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,41345.0,Devland Probart,U,81.0,,Technical Writer,IT,Mass Customer,N,Yes,,3250.0,VIC,Australia,2.0
14314,14457,3298,2017-01-27,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Christine Baignard,U,1.0,,VP Quality Control,IT,Affluent Customer,N,Yes,,3064.0,VIC,Australia,7.0
14343,14486,1,2017-03-27,0.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
14373,14516,1740,2017-07-28,0.0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,37499.0,Faythe Janaszewski,U,83.0,,Research Associate,IT,Mass Customer,N,Yes,,3796.0,VIC,Australia,8.0
14417,14560,1990,2017-06-29,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
14419,14562,892,2017-04-20,0.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,34586.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
14488,14632,2021,2017-04-07,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549.0,Ulrica Abelwhite,U,31.0,,Software Test Engineer I,IT,High Net Worth,N,Yes,,2176.0,NSW,Australia,10.0
14541,14686,950,2017-11-21,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,33549.0,Bret Ivakhnov,U,24.0,,Recruiter,IT,High Net Worth,N,Yes,,4218.0,QLD,Australia,5.0
14542,14687,168,2017-02-05,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,36668.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
14770,14918,2165,2017-08-08,0.0,Approved,Solex,Standard,medium,medium,1483.2,99.59,36146.0,Marlie Teesdale,U,16.0,,Civil Engineer,Manufacturing,Affluent Customer,N,No,,3030.0,VIC,Australia,6.0
14776,14925,144,2017-03-16,1.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
14782,14931,1,2017-12-14,1.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
14819,14968,2540,2017-04-10,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,34079.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
14847,14996,599,2017-09-06,1.0,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37823.0,Ernestus Cruden,U,48.0,,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,,3068.0,VIC,Australia,8.0
14848,14997,3343,2017-07-20,1.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,39880.0,Cristabel Bim,U,3.0,,Recruiter,IT,Mass Customer,N,Yes,,3228.0,VIC,Australia,8.0
14854,15003,2540,2017-07-29,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42710.0,Donavon ,U,14.0,,Executive Secretary,IT,Mass Customer,N,Yes,,2560.0,NSW,Australia,7.0
14858,15007,3223,2017-02-07,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
14961,15110,883,2017-11-13,0.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Lolita Bennie,U,73.0,,Recruiter,IT,Mass Customer,N,Yes,,2537.0,NSW,Australia,3.0
15145,15296,2647,2017-11-08,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
15157,15308,1082,2017-03-26,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,37499.0,Guinevere Kelby,U,90.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,4152.0,QLD,Australia,9.0
15262,15413,3086,2017-10-15,0.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
15275,15426,2963,2017-04-29,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,36146.0,Christin Fricke,U,17.0,,Safety Technician II,IT,Affluent Customer,N,Yes,,2114.0,NSW,Australia,10.0
15300,15451,1683,2017-06-12,0.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,36145.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
15379,15531,2341,2017-12-17,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42710.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
15398,15550,3255,2017-12-28,0.0,Approved,Solex,Standard,medium,large,202.62,151.96,42458.0,Sutherlan Truin,U,47.0,,Engineer IV,IT,High Net Worth,N,No,,3128.0,VIC,Australia,10.0
15405,15557,2335,2017-01-09,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Payton Sheach,U,42.0,,Account Executive,IT,Mass Customer,N,No,,2076.0,NSW,Australia,9.0
15449,15601,2999,2017-08-27,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
15467,15619,144,2017-11-28,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378.0,Jory Barrabeale,U,71.0,,Environmental Tech,IT,Mass Customer,N,No,,2315.0,NSW,Australia,3.0
15489,15642,1583,2017-01-07,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146.0,Krysta O' Reagan,U,18.0,,Geologist IV,IT,Mass Customer,N,Yes,,2100.0,NSW,Australia,11.0
15510,15663,1,2017-06-04,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
15522,15675,975,2017-02-09,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698.0,Goldarina Rzehorz,U,26.0,,Automation Specialist IV,IT,Mass Customer,N,No,,2760.0,NSW,Australia,8.0
15530,15683,2647,2017-09-14,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427.0,Marcelia Blannin,U,1.0,,Physical Therapy Assistant,IT,High Net Worth,N,No,,2770.0,NSW,Australia,7.0
15606,15760,168,2017-03-18,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40487.0,Reggie Broggetti,U,8.0,,General Manager,IT,Affluent Customer,N,Yes,,3020.0,VIC,Australia,6.0
15631,15785,454,2017-08-26,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Eugenie Domenc,U,58.0,,Research Nurse,Health,Affluent Customer,N,Yes,,4221.0,QLD,Australia,10.0
15645,15799,582,2017-04-10,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Rhoda McKeown,U,21.0,,Staff Scientist,IT,Affluent Customer,N,No,,2283.0,NSW,Australia,4.0
15746,15900,3255,2017-11-11,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Sutherlan Truin,U,47.0,,Engineer IV,IT,High Net Worth,N,No,,3128.0,VIC,Australia,10.0
15755,15909,1990,2017-06-25,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Mira Askham,U,9.0,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,,2567.0,NSW,Australia,8.0
15804,15959,3223,2017-04-20,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,38482.0,Tiffi Wortt,U,44.0,,Database Administrator III,IT,Mass Customer,N,Yes,,2021.0,NSW,Australia,9.0
15888,16046,2252,2017-02-19,,Approved,Solex,Standard,high,medium,748.17,448.9,35052.0,Darcey Annis,U,31.0,,Teacher,IT,High Net Worth,N,Yes,,3183.0,VIC,Australia,7.0
15932,16090,3365,2017-02-27,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Karlens Chaffyn,U,29.0,,Engineer III,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
15996,16155,996,2017-03-30,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,36498.0,Aura Bemlott,U,67.0,,Assistant Manager,IT,Mass Customer,N,Yes,,2194.0,NSW,Australia,10.0
16006,16165,2469,2017-05-11,0.0,Approved,Solex,Road,medium,large,1777.8,820.78,40670.0,Kermie Hedger,U,18.0,,Accounting Assistant II,IT,Mass Customer,N,Yes,,2036.0,NSW,Australia,11.0
16047,16206,3473,2017-10-07,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498.0,Sanderson Alloway,U,34.0,,Analog Circuit Design manager,IT,Mass Customer,N,No,,3803.0,VIC,Australia,7.0
16083,16242,1683,2017-08-18,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,42218.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
